x_scaled,y_scaled
0.8608,0.5299
0.8607,0.5341
0.8606,0.5383
0.8603,0.5424
0.8600,0.5466
0.8597,0.5507
0.8592,0.5549
0.8587,0.5591
0.8581,0.5632
0.8575,0.5673
0.8568,0.5715
0.8560,0.5756
0.8551,0.5797
0.8542,0.5838
0.8532,0.5879
0.8522,0.5920
0.8511,0.5961
0.8499,0.6002
0.8486,0.6042
0.8473,0.6083
0.8459,0.6123
0.8445,0.6163
0.8430,0.6203
0.8414,0.6243
0.8398,0.6283
0.8381,0.6322
0.8363,0.6362
0.8344,0.6401
0.8325,0.6440
0.8306,0.6479
0.8286,0.6518
0.8265,0.6556
0.8243,0.6594
0.8221,0.6632
0.8198,0.6670
0.8175,0.6708
0.8151,0.6745
0.8126,0.6782
0.8101,0.6819
0.8075,0.6856
0.8049,0.6892
0.8022,0.6928
0.7994,0.6964
0.7966,0.7000
0.7937,0.7035
0.7908,0.7070
0.7878,0.7105
0.7847,0.7139
0.7816,0.7174
0.7785,0.7207
0.7753,0.7241
0.7720,0.7274
0.7687,0.7307
0.7653,0.7340
0.7619,0.7372
0.7584,0.7404
0.7549,0.7435
0.7513,0.7467
0.7476,0.7498
0.7439,0.7528
0.7402,0.7558
0.7364,0.7588
0.7326,0.7618
0.7287,0.7647
0.7248,0.7675
0.7208,0.7704
0.7168,0.7731
0.7127,0.7759
0.7086,0.7786
0.7045,0.7813
0.7003,0.7839
0.6960,0.7865
0.6917,0.7891
0.6874,0.7916
0.6831,0.7940
0.6787,0.7965
0.6742,0.7988
0.6697,0.8012
0.6652,0.8035
0.6607,0.8057
0.6561,0.8079
0.6514,0.8101
0.6468,0.8122
0.6421,0.8143
0.6373,0.8163
0.6326,0.8183
0.6278,0.8202
0.6230,0.8221
0.6181,0.8239
0.6132,0.8257
0.6083,0.8275
0.6033,0.8292
0.5984,0.8308
0.5934,0.8324
0.5884,0.8339
0.5833,0.8354
0.5782,0.8369
0.5731,0.8383
0.5680,0.8397
0.5629,0.8410
0.5577,0.8422
0.5525,0.8434
0.5473,0.8446
0.5421,0.8457
0.5369,0.8467
0.5316,0.8477
0.5264,0.8487
0.5211,0.8496
0.5158,0.8504
0.5105,0.8512
0.5051,0.8520
0.4998,0.8527
0.4944,0.8533
0.4891,0.8539
0.4837,0.8544
0.4784,0.8549
0.4730,0.8553
0.4676,0.8557
0.4622,0.8560
0.4568,0.8563
0.4514,0.8565
0.4460,0.8567
0.4406,0.8568
0.4352,0.8569
0.4297,0.8569
0.4243,0.8569
0.4189,0.8568
0.4135,0.8566
0.4081,0.8564
0.4027,0.8562
0.3973,0.8559
0.3919,0.8555
0.3865,0.8551
0.3811,0.8547
0.3758,0.8542
0.3704,0.8536
0.3651,0.8530
0.3597,0.8523
0.3544,0.8516
0.3491,0.8508
0.3438,0.8500
0.3385,0.8491
0.3332,0.8482
0.3279,0.8472
0.3227,0.8462
0.3175,0.8451
0.3123,0.8440
0.3071,0.8428
0.3019,0.8416
0.2967,0.8403
0.2916,0.8390
0.2865,0.8376
0.2814,0.8362
0.2764,0.8347
0.2713,0.8332
0.2663,0.8316
0.2613,0.8300
0.2564,0.8283
0.2514,0.8266
0.2465,0.8248
0.2417,0.8230
0.2368,0.8211
0.2320,0.8192
0.2272,0.8173
0.2225,0.8153
0.2178,0.8132
0.2131,0.8111
0.2084,0.8090
0.2038,0.8068
0.1993,0.8046
0.1947,0.8023
0.1902,0.8000
0.1858,0.7977
0.1813,0.7952
0.1769,0.7928
0.1726,0.7903
0.1683,0.7878
0.1640,0.7852
0.1598,0.7826
0.1556,0.7800
0.1515,0.7773
0.1474,0.7745
0.1434,0.7718
0.1394,0.7689
0.1354,0.7661
0.1315,0.7632
0.1277,0.7603
0.1239,0.7573
0.1201,0.7543
0.1164,0.7513
0.1127,0.7482
0.1091,0.7451
0.1056,0.7420
0.1021,0.7388
0.0986,0.7356
0.0952,0.7323
0.0918,0.7291
0.0886,0.7258
0.0853,0.7224
0.0821,0.7191
0.0790,0.7156
0.0759,0.7122
0.0729,0.7088
0.0699,0.7053
0.0670,0.7018
0.0642,0.6982
0.0614,0.6946
0.0587,0.6910
0.0560,0.6874
0.0534,0.6838
0.0508,0.6801
0.0483,0.6764
0.0459,0.6726
0.0435,0.6689
0.0412,0.6651
0.0390,0.6613
0.0368,0.6575
0.0347,0.6537
0.0326,0.6498
0.0306,0.6460
0.0287,0.6421
0.0268,0.6381
0.0250,0.6342
0.0233,0.6303
0.0216,0.6263
