LATITUDE,LONGITUDE,FIRE_SIZE,NWCG_GENERAL_CAUSE,NWCG_CAUSE_CLASSIFICATION,FIRE_YEAR,DISCOVERY_DOY,cause_binary,fire_size_log,t_param,s_param,dist_to_lake_km,cluster_basin_std,cluster_basin_eq,cluster_near_std,cluster_near_eq,cluster_near_opt,cluster_basin_opt
36.41833333,-114.72666667,0.1,Debris and open burning,Human,1994,149,1,0.09531017980432487,0.587197965628702,0.5682768768701261,28.821779396891635,1,1,,,,1
35.9667,-114.5341,1.0,Debris and open burning,Human,1996,120,1,0.6931471805599453,0.36948622295181055,0.3671621389865154,10.776085888534574,3,3,,,,3
35.9667,-114.5841,0.2,Debris and open burning,Human,1996,129,1,0.18232155679395465,0.45309901795256113,0.44592907713802343,13.291062795793332,3,3,,,,3
35.9,-113.8758,0.1,Natural,Natural,1992,155,0,0.09531017980432487,0.08867510999852198,0.09387190915677565,13.620975255682577,0,0,,,,0
35.96,-113.8641,600.0,Natural,Natural,1993,215,0,6.398594934535208,0.09903331568501231,0.11062665815592751,9.930479575024057,0,0,,,,0
35.84,-113.8575,0.1,Natural,Natural,1993,217,0,0.09531017980432487,0.08867744152294485,0.09387195098047503,18.546601519052615,0,0,,,,0
35.9869,-113.8727,10250.0,Natural,Natural,1994,182,0,9.235130540783402,0.09948123411518602,0.11125653699753382,7.1020424283682395,0,0,,,,0
35.9039,-113.7547,0.7,Natural,Natural,1994,211,0,0.5306282510621704,0.08868068036973518,0.0938719962506125,10.316486104384579,0,0,,,,0
35.96,-113.7941,600.0,Natural,Natural,1995,179,0,6.398594934535208,0.0886778004511104,0.09387195645573365,4.064779489164018,0,0,2.0,0.0,0.0,0
35.975,-113.9008,953.0,Natural,Natural,1995,180,0,6.860663671448287,0.10079461397027277,0.1131357377825046,9.177565832112688,0,0,,,,0
35.8583,-113.9008,2.0,Natural,Natural,1995,182,0,1.0986122886681098,0.0886757067219306,0.09387192121257447,18.662437289062456,0,0,,,,0
35.9353,-113.87,4.0,Natural,Natural,1995,235,0,1.6094379124341003,0.08867263233346537,0.09387185024351033,10.477448737371553,0,0,,,,0
35.968,-113.853,15.0,Natural,Natural,1995,235,0,2.772588722239781,0.0886657713495375,0.09387159352181292,7.248489430130298,0,0,,,,0
35.9189,-113.853,0.3,Natural,Natural,1996,192,0,0.262364264467491,0.0886753307134622,0.09387191387682309,10.699678704061759,0,0,,,,0
35.8025,-113.8855,0.3,Natural,Natural,1996,192,0,0.262364264467491,0.08867723367312551,0.09387194771110137,23.36559944638228,0,0,,,,0
35.8186,-113.8519,0.3,Natural,Natural,1996,196,0,0.262364264467491,0.08867784739866501,0.0938719571579111,20.59962688726961,0,0,,,,0
35.9353,-113.87,15.0,Natural,Natural,1996,227,0,2.772588722239781,0.08867263233346537,0.09387185024351033,10.477448737371553,0,0,,,,0
35.835,-113.8519,0.1,Natural,Natural,1996,227,0,0.09531017980432487,0.08867766386521579,0.09387195439991491,18.881564986437958,0,0,,,,0
35.8,-113.818,1.0,Natural,Natural,1996,228,0,0.6931471805599453,0.08867875868749266,0.09387197058282735,21.882135439389714,0,0,,,,0
36.0169,-113.8194,0.1,Natural,Natural,1996,229,0,0.09531017980432487,0.09387667552678362,0.10095631295679248,2.393692503707302,0,0,2.0,0.0,0.0,0
35.9842,-113.8194,0.1,Natural,Natural,1996,229,0,0.09531017980432487,0.08865868413350073,0.09387117445600111,3.7760312124221382,0,0,2.0,0.0,0.0,0
35.8514,-113.853,0.1,Natural,Natural,1996,229,0,0.09531017980432487,0.08867740317205654,0.0938719503827852,17.222385672624355,0,0,,,,0
35.835,-113.8855,0.1,Natural,Natural,1996,229,0,0.09531017980432487,0.08867673409720897,0.09387194067489694,20.12666927430293,0,0,,,,0
35.8678,-113.853,1.0,Natural,Natural,1996,245,0,0.6931471805599453,0.0886771104967275,0.09387194571780855,15.557469547171364,0,0,,,,0
35.8283,-113.8575,0.3,Natural,Natural,1997,201,0,0.262364264467491,0.08867759676789921,0.0938719533761754,19.754722520642698,0,0,,,,0
35.8267,-113.8058,0.3,Natural,Natural,1999,255,0,0.262364264467491,0.08867893148344398,0.09387197296668731,18.791934556043145,0,0,,,,0
36.45,-113.8175,0.1,Natural,Natural,1992,125,0,0.09531017980432487,0.014532020336293658,0.012819542314434725,27.433666470815595,2,2,,,,2
36.5666,-113.8508,0.1,Natural,Natural,1992,176,0,0.09531017980432487,0.0144834985712707,0.012797022285318139,37.33241956630236,2,2,,,,2
36.4333,-113.8841,0.1,Natural,Natural,1992,176,0,0.09531017980432487,0.014504049846250215,0.012806526383901822,22.617802237481147,2,2,,,,2
36.5,-113.8675,4.0,Natural,Natural,1992,176,0,1.6094379124341003,0.014491307464935746,0.012800645624454232,29.93087515038164,2,2,,,,2
36.5666,-113.7341,0.1,Natural,Natural,1992,176,0,0.09531017980432487,0.01452433365417721,0.012815937047283241,42.31801204518691,2,2,,,,2
36.55,-113.7341,0.1,Natural,Natural,1992,176,0,0.09531017980432487,0.014528786646492748,0.012818021981379353,40.818501179450095,2,2,,,,2
36.5833,-114.0341,0.1,Natural,Natural,1992,176,0,0.09531017980432487,0.7982744743717033,0.7858282671435362,27.85842942891676,2,2,,,,2
36.5333,-113.8341,12.7,Natural,Natural,1992,195,0,2.617395832834079,0.014497691561799251,0.012803590064427578,34.55175466828036,2,2,,,,2
36.1667,-113.7841,0.2,Natural,Natural,1992,213,0,0.18232155679395465,0.0788906558386241,0.0823865001512513,13.18090996810894,0,0,,,,0
36.5166,-113.7508,0.1,Natural,Natural,1992,215,0,0.09531017980432487,0.014533386149979101,0.012820186235116769,36.95340508323434,2,2,,,,2
