LATITUDE,LONGITUDE,Cluster_Std,Cluster_OA,Cause,Specific_Cause,Fire_Size_Acres,Fire_Year,Dist_To_Lake_Km
35.96,-113.7941,3,1,Natural,Lightning,600.0,1995,4.06
36.0169,-113.8194,3,1,Natural,Lightning,0.1,1996,2.39
35.9842,-113.8194,3,1,Natural,Lightning,0.1,1996,3.78
36.1166,-114.8508,4,4,Human-Caused,Arson/incendiarism,0.1,1992,0.42
36.2666,-114.3508,2,2,Natural,Lightning,125.0,1993,1.73
36.5361,-114.4625,2,2,Human-Caused,Debris and open burning,0.1,1999,4.59
36.11485,-113.86667,3,3,Natural,Lightning,193.0,1995,3.65
36.10527,-114.84964,4,4,Human-Caused,Equipment and vehicle use,0.1,1992,0.67
36.05007,-114.80113,4,4,Natural,Lightning,0.1,1992,0.11
36.01609,-114.78693,4,4,Human-Caused,Debris and open burning,0.1,1992,1.3
36.03289,-114.79616,4,4,Human-Caused,Debris and open burning,0.1,1992,0.92
36.14165,-114.68692,4,4,Human-Caused,Other causes,0.1,1992,0.5
36.03833,-114.80354,4,4,Natural,Lightning,0.1,1992,0.78
36.14998,-114.75082,4,4,Human-Caused,Arson/incendiarism,0.5,1992,1.17
36.02498,-114.78693,4,4,Human-Caused,Equipment and vehicle use,0.1,1992,1.15
36.44714,-114.37858,2,2,Human-Caused,Recreation and ceremony,0.2,1992,1.19
36.24998,-114.00079,1,3,Human-Caused,Debris and open burning,1.0,1992,0.14
36.05832,-114.05912,1,1,Human-Caused,Debris and open burning,10.0,1992,4.24
36.12034,-114.76347,4,4,Human-Caused,Recreation and ceremony,0.2,1993,0.38
36.09998,-114.88416,4,4,Human-Caused,Smoking,0.3,1993,2.72
36.16665,-114.01746,1,1,Human-Caused,Fireworks,25.0,1993,0.94
36.05009,-114.80127,4,4,Human-Caused,Fireworks,0.4,1993,0.1
36.05005,-114.80106,4,4,Human-Caused,Fireworks,0.4,1993,0.12
36.03147,-114.71547,4,4,Human-Caused,Misuse of fire by a minor,8.2,1993,0.49
36.24998,-113.95079,1,3,Human-Caused,Debris and open burning,0.5,1993,4.62
36.39025,-114.43581,2,2,Human-Caused,Smoking,0.7,1993,3.17
36.1809,-114.7272,4,4,Human-Caused,Misuse of fire by a minor,5.1,1993,2.81
36.48331,-114.35081,2,2,Human-Caused,Debris and open burning,0.2,1993,0.84
36.45793,-114.43577,2,2,Human-Caused,Fireworks,0.1,1993,4.06
36.01665,-114.80081,4,4,Human-Caused,Equipment and vehicle use,0.1,1994,2.69
36.15602,-114.10451,1,3,Human-Caused,Fireworks,5.0,1994,0.24
36.46649,-114.38493,2,2,Human-Caused,Recreation and ceremony,0.5,1994,0.38
36.09998,-114.86749,4,4,Human-Caused,Equipment and vehicle use,0.1,1994,1.85
36.10095,-114.34269,1,1,Human-Caused,Misuse of fire by a minor,1.0,1994,0.35
36.03405,-114.28798,1,1,Natural,Lightning,0.1,1994,0.38
36.1134,-114.64701,4,4,Natural,Lightning,0.2,1994,0.09
36.02093,-114.74692,4,4,Natural,Lightning,0.2,1994,0.63
35.99998,-114.78415,4,4,Human-Caused,Smoking,0.1,1994,2.59
36.30991,-114.43974,2,2,Human-Caused,Misuse of fire by a minor,0.1,1994,0.45
36.30677,-114.43205,2,2,Human-Caused,Debris and open burning,0.4,1995,0.07
36.38328,-114.45232,2,2,Human-Caused,Recreation and ceremony,0.8,1995,3.85
36.05008,-114.82182,4,4,Human-Caused,Equipment and vehicle use,0.1,1995,1.1
36.19998,-114.06746,1,3,Human-Caused,Recreation and ceremony,0.1,1995,0.57
36.28188,-114.47031,2,2,Natural,Lightning,0.1,1995,3.85
36.00451,-114.29494,1,1,Natural,Lightning,0.1,1995,1.42
36.06468,-114.71461,4,4,Human-Caused,Recreation and ceremony,0.1,1995,1.18
36.49755,-114.41416,2,2,Human-Caused,Recreation and ceremony,0.3,1995,0.34
36.28484,-114.01198,1,3,Human-Caused,Arson/incendiarism,1.5,1995,3.56
36.33278,-114.44256,2,2,Human-Caused,Recreation and ceremony,0.2,1995,0.56
36.13758,-114.73251,4,4,Human-Caused,Debris and open burning,0.5,1995,0.39
36.11189,-114.39264,1,1,Human-Caused,Misuse of fire by a minor,0.1,1995,0.27
36.0221,-114.28674,1,1,Human-Caused,Misuse of fire by a minor,0.1,1995,0.86
36.28315,-113.98827,1,3,Human-Caused,Recreation and ceremony,0.1,1995,3.52
36.16668,-114.57162,4,4,Human-Caused,Equipment and vehicle use,0.1,1996,0.92
36.38331,-114.43415,2,2,Human-Caused,Fireworks,0.1,1996,2.48
36.01109,-114.78415,4,4,Human-Caused,Equipment and vehicle use,0.1,1996,1.52
36.01787,-114.73698,4,4,Human-Caused,Arson/incendiarism,0.1,1996,0.32
36.03331,-114.80082,4,4,Human-Caused,Other causes,0.1,1996,1.11
36.24999,-114.01746,1,3,Human-Caused,Arson/incendiarism,0.1,1996,0.74
36.51751,-114.425,2,2,Human-Caused,Recreation and ceremony,0.1,1996,0.64
36.48023,-114.41154,2,2,Natural,Lightning,127.0,1996,1.1
36.31297,-114.43078,2,2,Human-Caused,Other causes,0.1,1996,0.68
36.01469,-114.30047,1,1,Natural,Lightning,2.0,1996,1.39
36.10153,-114.64463,4,4,Natural,Lightning,0.1,1996,0.81
36.00841,-114.76722,4,4,Human-Caused,Debris and open burning,0.1,1997,1.28
36.16018,-114.89787,4,4,Human-Caused,Equipment and vehicle use,0.1,1997,3.73
36.24634,-114.41732,2,2,Human-Caused,Fireworks,0.1,1997,0.59
36.12498,-114.76471,4,4,Human-Caused,Recreation and ceremony,0.2,1997,0.62
36.49872,-114.37714,2,2,Human-Caused,Recreation and ceremony,0.1,1997,0.15
36.13031,-114.80382,4,4,Human-Caused,Recreation and ceremony,0.1,1997,0.52
36.16693,-114.49248,4,4,Human-Caused,Recreation and ceremony,0.1,1997,0.17
36.13047,-114.80137,4,4,Human-Caused,Equipment and vehicle use,0.1,1997,0.42
36.12867,-114.78327,4,4,Human-Caused,Fireworks,0.5,1997,0.35
36.03998,-114.80526,4,4,Human-Caused,Fireworks,0.1,1997,0.71
36.0247,-114.79943,4,4,Human-Caused,Equipment and vehicle use,0.1,1997,1.86
36.47901,-114.4216,2,2,Human-Caused,Smoking,0.5,1997,2.19
35.99327,-114.09092,3,1,Natural,Lightning,0.5,1997,3.56
36.41227,-114.41631,2,2,Human-Caused,Smoking,0.1,1997,2.14
36.18108,-114.69692,4,4,Human-Caused,Equipment and vehicle use,0.1,1997,2.78
36.16804,-114.12579,1,3,Human-Caused,Recreation and ceremony,0.1,1998,2.32
36.3074,-114.42655,2,2,Human-Caused,Smoking,0.1,1998,0.36
36.1303,-114.83879,4,4,Human-Caused,Recreation and ceremony,0.1,1998,0.52
36.16668,-114.76843,4,4,Human-Caused,Equipment and vehicle use,0.1,1998,3.41
36.09548,-114.90559,4,4,Human-Caused,Equipment and vehicle use,0.1,1998,4.43
36.26696,-114.03419,1,3,Human-Caused,Smoking,0.1,1998,3.11
35.99168,-114.69681,4,4,Human-Caused,Smoking,0.1,1998,3.73
36.04249,-114.8085,4,4,Human-Caused,Recreation and ceremony,0.1,1998,0.66
36.03503,-114.80082,4,4,Human-Caused,Recreation and ceremony,0.1,1998,0.95
36.09435,-114.90186,4,4,Human-Caused,Equipment and vehicle use,0.1,1998,4.27
36.06465,-114.80244,4,4,Natural,Lightning,0.5,1998,0.35
36.11162,-114.87145,4,4,Human-Caused,Debris and open burning,0.1,1998,0.98
36.01668,-114.71809,4,4,Human-Caused,Smoking,0.1,1998,0.63
36.02088,-114.80402,4,4,Human-Caused,Misuse of fire by a minor,0.1,1998,2.45
36.48477,-114.34421,2,2,Human-Caused,Arson/incendiarism,2.0,1999,0.26
36.4601,-114.42854,2,2,Human-Caused,Arson/incendiarism,0.2,1999,3.4
36.04331,-114.81054,4,4,Human-Caused,Recreation and ceremony,1.0,1999,0.72
36.06468,-114.82182,4,4,Human-Caused,Smoking,0.1,1999,1.27
36.06468,-114.82182,4,4,Human-Caused,Smoking,0.1,1999,1.27
36.1746,-114.1247,1,3,Natural,Lightning,5.0,1999,2.55
