LATITUDE,LONGITUDE,Cluster_Std,Cluster_OA,Cause,Specific_Cause,Fire_Size_Acres,Fire_Year
36.41833333,-114.72666667,2,2,Human-Caused,Debris and open burning,0.1,1994
35.9667,-114.5341,4,4,Human-Caused,Debris and open burning,1.0,1996
35.9667,-114.5841,4,4,Human-Caused,Debris and open burning,0.2,1996
35.9,-113.8758,1,1,Natural,Lightning,0.1,1992
35.96,-113.8641,1,1,Natural,Lightning,600.0,1993
35.84,-113.8575,1,1,Natural,Lightning,0.1,1993
35.9869,-113.8727,1,1,Natural,Lightning,10250.0,1994
35.9039,-113.7547,1,1,Natural,Lightning,0.7,1994
35.96,-113.7941,1,1,Natural,Lightning,600.0,1995
35.975,-113.9008,1,1,Natural,Lightning,953.0,1995
35.8583,-113.9008,1,1,Natural,Lightning,2.0,1995
35.9353,-113.87,1,1,Natural,Lightning,4.0,1995
35.968,-113.853,1,1,Natural,Lightning,15.0,1995
35.9189,-113.853,1,1,Natural,Lightning,0.3,1996
35.8025,-113.8855,1,1,Natural,Lightning,0.3,1996
35.8186,-113.8519,1,1,Natural,Lightning,0.3,1996
35.9353,-113.87,1,1,Natural,Lightning,15.0,1996
35.835,-113.8519,1,1,Natural,Lightning,0.1,1996
35.8,-113.818,1,1,Natural,Lightning,1.0,1996
36.0169,-113.8194,1,1,Natural,Lightning,0.1,1996
35.9842,-113.8194,1,1,Natural,Lightning,0.1,1996
35.8514,-113.853,1,1,Natural,Lightning,0.1,1996
35.835,-113.8855,1,1,Natural,Lightning,0.1,1996
35.8678,-113.853,1,1,Natural,Lightning,1.0,1996
35.8283,-113.8575,1,1,Natural,Lightning,0.3,1997
35.8267,-113.8058,1,1,Natural,Lightning,0.3,1999
36.45,-113.8175,3,3,Natural,Lightning,0.1,1992
36.5666,-113.8508,3,3,Natural,Lightning,0.1,1992
36.4333,-113.8841,3,3,Natural,Lightning,0.1,1992
36.5,-113.8675,3,3,Natural,Lightning,4.0,1992
