LATITUDE,LONGITUDE,FIRE_SIZE,NWCG_GENERAL_CAUSE,NWCG_CAUSE_CLASSIFICATION,FIRE_YEAR,DISCOVERY_DOY,cause_binary,fire_size_log,t_param,s_param,dist_to_lake_km,cluster_basin_opt,cluster_basin_std,cluster_basin_eq,cluster_near_std,cluster_near_eq,cluster_near_opt
39.00833333,-120.18333333,0.1,Recreation and ceremony,Human,2005,188,1,0.09531017980432487,0.021482651508397396,0.026010616068704175,5.757038005828014,2,2,2,,,
38.94111111,-120.05166667,0.1,Recreation and ceremony,Human,2005,215,1,0.09531017980432487,0.872745388290644,0.8677976876158046,0.029222632446375612,3,3,3,3.0,3.0,3.0
38.85361111,-120.11166667,0.25,Natural,Natural,2005,233,0,0.22314355131420976,0.926344871022014,0.9343588238001713,10.640129338767522,3,3,3,,,
39.14111111,-120.16972222,0.1,Other causes,Human,2005,264,1,0.09531017980432487,0.16716618446651046,0.16027274542973158,1.6812042695953953,2,2,2,2.0,2.0,2.0
38.94,-120.04666667,0.1,Recreation and ceremony,Human,2005,182,1,0.09531017980432487,0.8718747324201124,0.8635383802762437,0.07025559959578172,3,3,3,3.0,3.0,3.0
38.94,-120.04666667,0.1,Smoking,Human,2005,182,1,0.09531017980432487,0.8718747324201124,0.8635383802762437,0.07025559959578172,3,3,3,3.0,3.0,3.0
38.94,-120.04666667,0.1,Misuse of fire by a minor,Human,2005,184,1,0.09531017980432487,0.8718747324201124,0.8635383802762437,0.07025559959578172,3,3,3,3.0,3.0,3.0
39.01333333,-120.13833333,0.1,Natural,Natural,2005,229,0,0.09531017980432487,0.020739388167648472,0.02545403099400058,1.8433461599493286,2,2,2,3.0,3.0,3.0
38.945,-120.09916667,0.1,Recreation and ceremony,Human,2005,250,1,0.09531017980432487,0.9220970042931341,0.9301914551992573,0.4818881329232189,3,3,3,3.0,3.0,3.0
39.15111111,-119.93166667,0.1,Natural,Natural,2005,270,0,0.09531017980432487,0.5599011276985242,0.551115638069677,0.10273598191101255,1,1,1,1.0,1.0,1.0
39.23916667,-120.05833333,0.1,Recreation and ceremony,Human,2006,127,1,0.09531017980432487,0.3200033443716895,0.3228870789251483,0.04242850311287734,1,1,1,1.0,1.0,1.0
38.86972222,-119.9975,0.1,Natural,Natural,2006,137,0,0.09531017980432487,0.8645187007317409,0.8317182261831546,7.790379925156326,3,3,3,,,
38.89888889,-119.97916667,0.1,Arson/incendiarism,Human,2006,140,1,0.09531017980432487,0.8629427211416504,0.812775379236449,4.958089370467012,0,0,0,0.0,0.0,0.0
39.04805556,-120.16555556,0.1,Recreation and ceremony,Human,2006,162,1,0.09531017980432487,0.10878295835421087,0.10916911159922407,3.3229422645347215,2,2,2,2.0,2.0,2.0
38.89611111,-120.05555556,0.1,Debris and open burning,Human,2006,162,1,0.09531017980432487,0.8787101707570051,0.873805949581728,4.886194888946072,3,3,3,3.0,3.0,3.0
38.94527778,-120.115,0.1,Recreation and ceremony,Human,2006,175,1,0.09531017980432487,0.9284532176256127,0.9348879073225405,1.0099872581462992,3,3,3,3.0,3.0,3.0
39.17222222,-119.92333333,0.1,Equipment and vehicle use,Human,2006,193,1,0.09531017980432487,0.5240461867719687,0.5219530941300631,0.5117189029282841,1,1,1,1.0,1.0,1.0
39.14166667,-119.92111111,0.1,Natural,Natural,2006,203,0,0.09531017980432487,0.5633766940884285,0.553023686196511,1.2480191911233651,1,1,1,1.0,1.0,1.0
38.85361111,-119.96083333,0.5,Natural,Natural,2006,217,0,0.4054651081081644,0.8621207430557631,0.8045193508738482,10.227197008229673,0,0,0,,,
38.85194444,-120.07027778,0.01,Natural,Natural,2006,218,0,0.009950330853168083,0.8793891861112114,0.874256493680572,9.87227058723255,3,3,3,,,
38.88472222,-120.05722222,0.1,Debris and open burning,Human,2006,230,1,0.09531017980432487,0.8787839967204265,0.8738426472030979,6.152042245105316,3,3,3,,,
38.95027778,-119.95,0.1,Smoking,Human,2006,150,1,0.09531017980432487,0.8523278582147739,0.7834463270927583,0.6070145042864249,0,0,0,0.0,0.0,0.0
38.86027778,-119.98472222,0.01,Recreation and ceremony,Human,2006,160,1,0.009950330853168083,0.8637683862257735,0.8226725414347734,9.054556353958448,0,0,0,,,
38.92944444,-120.05444444,1.0,Smoking,Human,2006,163,1,0.6931471805599453,0.8785343233811942,0.8737330796674988,1.1899906934494775,3,3,3,3.0,3.0,3.0
38.89472222,-120.03166667,0.1,Arson/incendiarism,Human,2006,173,1,0.09531017980432487,0.8672593521932526,0.8489226000102235,4.594743687212589,3,3,3,3.0,3.0,3.0
38.93027778,-120.11027778,0.3,Natural,Natural,2006,175,0,0.262364264467491,0.9268644509813854,0.9345070389729441,2.1722961991957885,3,3,3,3.0,3.0,3.0
39.1025,-120.20416667,0.1,Recreation and ceremony,Human,2006,183,1,0.09531017980432487,0.12106489882347549,0.13097852286404163,3.525888383973426,2,2,2,2.0,2.0,2.0
39.23333333,-119.995,0.01,Natural,Natural,2006,203,0,0.009950330853168083,0.39602122105453325,0.39343332343660964,0.4701804181042956,1,1,1,1.0,1.0,1.0
38.90111111,-120.00083333,25.0,Arson/incendiarism,Human,2006,247,1,3.258096538021482,0.8643792245032124,0.8300911958335779,4.312350126377679,3,3,3,3.0,3.0,3.0
38.94138889,-119.95416667,0.01,Recreation and ceremony,Human,2006,274,1,0.009950330853168083,0.8546156526534188,0.7885617447661498,1.1237242189942318,0,0,0,0.0,0.0,0.0
38.915,-120.0675,5.2,Debris and open burning,Human,2006,281,1,1.824549292051046,0.8816774970281206,0.8779623761879644,2.975338786671552,3,3,3,3.0,3.0,3.0
39.04027778,-120.13305556,0.1,Recreation and ceremony,Human,2006,185,1,0.09531017980432487,0.05278933066776282,0.04814422101498603,0.9765732623486145,2,2,2,2.0,2.0,2.0
39.00416667,-119.92777778,1.0,Recreation and ceremony,Human,2006,197,1,0.6931471805599453,0.7934008460900015,0.7212988834528165,1.859499597748654,0,0,0,0.0,0.0,0.0
39.17166667,-120.15833333,0.1,Smoking,Human,2006,214,1,0.09531017980432487,0.21455641754387098,0.203733882117265,1.4046111301846438,2,2,2,2.0,2.0,2.0
39.26,-120.035,0.1,Smoking,Human,2006,218,1,0.09531017980432487,0.34016212987224154,0.33954816700429324,2.445580181177866,1,1,1,1.0,1.0,1.0
39.18166667,-120.03833333,0.1,Smoking,Human,2006,218,1,0.09531017980432487,0.35531882277728394,0.36702720946803513,5.247321899686956,1,1,1,,,
39.24944444,-120.00694444,0.1,Recreation and ceremony,Human,2006,224,1,0.09531017980432487,0.4094022968404463,0.4033105348830309,0.9743061724252592,1,1,1,1.0,1.0,1.0
38.91777778,-119.91722222,0.1,Recreation and ceremony,Human,2006,246,1,0.09531017980432487,0.8525033506302768,0.7837993934008424,5.194501619929546,0,0,0,,,
39.25694444,-120.05111111,0.2,Recreation and ceremony,Human,2006,267,1,0.18232155679395465,0.3228438968162782,0.327650904661193,1.9323273354586394,1,1,1,1.0,1.0,1.0
39.0025,-120.1625,0.1,Recreation and ceremony,Human,2007,155,1,0.09531017980432487,0.020415221066174424,0.02517170520497766,4.251092763719073,2,2,2,2.0,3.0,2.0
39.09861111,-119.90916667,0.1,Recreation and ceremony,Human,2007,144,1,0.09531017980432487,0.673844494083969,0.6312443705460244,2.8255015506293746,0,0,0,0.0,0.0,0.0
38.96666667,-119.91055556,0.7,Power generation/transmission/distribution,Human,2007,151,1,0.5306282510621704,0.8457211185996616,0.7730542011910129,3.4038192641936624,0,0,0,0.0,0.0,0.0
39.11916667,-120.16055556,0.25,Debris and open burning,Human,2007,155,1,0.22314355131420976,0.15833457435163237,0.1526305266239939,0.015629722247143363,2,2,2,2.0,2.0,2.0
39.24972222,-120.00694444,0.1,Recreation and ceremony,Human,2007,167,1,0.09531017980432487,0.4095129416061411,0.40343388995952995,0.9890883120823365,1,1,1,1.0,1.0,1.0
39.18666667,-120.09138889,0.1,Recreation and ceremony,Human,2007,186,1,0.09531017980432487,0.25659767284848145,0.25335839556123346,0.06250923940362813,2,2,2,2.0,2.0,2.0
39.0025,-120.1625,0.5,Recreation and ceremony,Human,2007,167,1,0.4054651081081644,0.020415221066174424,0.02517170520497766,4.251092763719073,2,2,2,2.0,3.0,2.0
38.85916667,-120.01277778,0.1,Recreation and ceremony,Human,2007,165,1,0.09531017980432487,0.8660271592543096,0.8450923406391261,8.666577017154768,3,3,3,,,
39.02555556,-119.90444444,0.25,Natural,Natural,2007,152,0,0.22314355131420976,0.7612922599158208,0.6989053718679292,3.8284120070781844,0,0,0,0.0,0.0,0.0
38.86222222,-120.05194444,3100.0,Recreation and ceremony,Human,2007,175,1,8.03947991910045,0.8675990122700171,0.8493121805642755,8.42181379235146,3,3,3,,,
39.10277778,-120.205,0.1,Recreation and ceremony,Human,2007,177,1,0.09531017980432487,0.12107250640551867,0.13098531207180422,3.6020072606444145,2,2,2,2.0,2.0,2.0
38.85972222,-120.10833333,0.1,Natural,Natural,2007,192,0,0.09531017980432487,0.9261870961291441,0.9343014374514201,9.948582603219812,3,3,3,,,
38.95138889,-119.94111111,0.1,Recreation and ceremony,Human,2007,245,1,0.09531017980432487,0.8501095503065443,0.7795347074382496,1.1854721418983112,0,0,0,0.0,0.0,0.0
38.95777778,-119.93472222,0.1,Recreation and ceremony,Human,2007,212,1,0.09531017980432487,0.8478142216080279,0.7762876210588976,1.3986026300164975,0,0,0,0.0,0.0,0.0
38.96222222,-120.08027778,0.1,Recreation and ceremony,Human,2007,221,1,0.09531017980432487,0.9118085356119711,0.9108941771041371,0.20666111412836943,3,3,3,3.0,3.0,3.0
38.85722222,-120.00888889,0.1,Recreation and ceremony,Human,2007,268,1,0.09531017980432487,0.8656253936570092,0.8425278304308317,8.9448545430791,3,3,3,,,
39.14416667,-120.15722222,20.2,Other causes,Human,2007,230,1,3.054001181677967,0.1866117019090583,0.17599691071296705,0.5287473113115121,2,2,2,2.0,2.0,2.0
39.04805556,-120.16277778,0.1,Recreation and ceremony,Human,2007,174,1,0.09531017980432487,0.10854501829577878,0.10881323713845112,3.2331622075756337,2,2,2,2.0,2.0,2.0
38.93111111,-119.97638889,0.25,Smoking,Human,2007,174,1,0.22314355131420976,0.8622827454366518,0.8059442204408931,1.5075879830907848,0,0,0,0.0,0.0,0.0
39.25777778,-120.03833333,0.25,Recreation and ceremony,Human,2007,178,1,0.22314355131420976,0.34005728697213056,0.33953029531930523,2.1720905364125156,1,1,1,1.0,1.0,1.0
38.95222222,-119.93861111,0.25,Smoking,Human,2007,211,1,0.22314355131420976,0.8494757512466675,0.7785965189004044,1.326909856559514,0,0,0,0.0,0.0,0.0
39.24944444,-120.00666667,0.1,Recreation and ceremony,Human,2007,217,1,0.09531017980432487,0.4094650000397815,0.4033806224256271,0.9528308892170579,1,1,1,1.0,1.0,1.0
38.90805556,-119.99166667,0.1,Equipment and vehicle use,Human,2007,217,1,0.09531017980432487,0.8636855267140426,0.821652503533146,3.726827401977517,0,0,0,0.0,0.0,0.0
39.08833333,-120.22916667,0.1,Natural,Natural,2007,306,0,0.09531017980432487,0.12051659803384644,0.1303867433727451,5.7550061029381965,2,2,2,,,
39.24972222,-120.00583333,0.1,Recreation and ceremony,Human,2007,223,1,0.09531017980432487,0.4097712033305367,0.40371592733411965,0.9041014115018547,1,1,1,1.0,1.0,1.0
39.12888889,-119.945,0.1,Recreation and ceremony,Human,2007,181,1,0.09531017980432487,0.6021225380559252,0.5791121653230192,0.04112048952433678,1,1,1,1.0,1.0,1.0
38.9375,-120.1125,0.1,Recreation and ceremony,Human,2007,227,1,0.09531017980432487,0.9272445274994447,0.9345876281684294,1.4842047693524016,3,3,3,3.0,3.0,3.0
38.88388889,-120.03444444,0.1,Power generation/transmission/distribution,Human,2007,245,1,0.09531017980432487,0.8673342118340244,0.8490250835941506,5.808750920344609,3,3,3,,,
