LATITUDE,LONGITUDE,Cluster_Basin,Cluster_NearShore_Label,Near_Shore_2km,Cause,Specific_Cause,Fire_Size_Acres,Fire_Year
39.00833333,-120.18333333,3,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2005
38.94111111,-120.05166667,1,1,1,Human-Caused,Recreation and ceremony,0.1,2005
38.85361111,-120.11166667,3,Not in near-shore subset,0,Natural,Lightning,0.25,2005
39.14111111,-120.16972222,3,3,1,Human-Caused,Other causes,0.1,2005
38.94,-120.04666667,1,1,1,Human-Caused,Recreation and ceremony,0.1,2005
38.94,-120.04666667,1,1,1,Human-Caused,Smoking,0.1,2005
38.94,-120.04666667,1,1,1,Human-Caused,Misuse of fire by a minor,0.1,2005
39.01333333,-120.13833333,3,3,1,Natural,Lightning,0.1,2005
38.945,-120.09916667,3,3,1,Human-Caused,Recreation and ceremony,0.1,2005
39.15111111,-119.93166667,2,2,1,Natural,Lightning,0.1,2005
39.23916667,-120.05833333,4,4,1,Human-Caused,Recreation and ceremony,0.1,2006
38.86972222,-119.9975,1,Not in near-shore subset,0,Natural,Lightning,0.1,2006
38.89888889,-119.97916667,1,Not in near-shore subset,0,Human-Caused,Arson/incendiarism,0.1,2006
39.04805556,-120.16555556,3,Not in near-shore subset,0,Human-Caused,Recreation and ceremony,0.1,2006
38.89611111,-120.05555556,1,Not in near-shore subset,0,Human-Caused,Debris and open burning,0.1,2006
38.94527778,-120.115,3,3,1,Human-Caused,Recreation and ceremony,0.1,2006
39.17222222,-119.92333333,2,2,1,Human-Caused,Equipment and vehicle use,0.1,2006
39.14166667,-119.92111111,2,2,1,Natural,Lightning,0.1,2006
38.85361111,-119.96083333,1,Not in near-shore subset,0,Natural,Lightning,0.5,2006
38.85194444,-120.07027778,1,Not in near-shore subset,0,Natural,Lightning,0.01,2006
38.88472222,-120.05722222,1,Not in near-shore subset,0,Human-Caused,Debris and open burning,0.1,2006
38.95027778,-119.95,1,1,1,Human-Caused,Smoking,0.1,2006
