x_scaled,y_scaled,s_scaled,t,h_scaled,r
0.8400,0.0301,0.8945,5.3623,0.7603,1.0968
0.9235,0.0957,0.9249,5.5322,0.9771,0.8452
0.7184,0.1033,0.8522,5.1557,0.8081,0.8321
0.5880,0.0135,0.8038,4.9404,0.5923,0.6494
0.7738,0.1780,0.8736,5.2573,1.0000,0.9147
1.0000,0.1581,0.9522,5.7130,0.8520,0.9606
0.4399,0.0135,0.7498,4.7116,0.8939,0.8977
0.4160,0.0714,0.7410,4.6745,0.4739,0.8593
0.0993,0.0810,0.6252,4.1619,0.8618,0.7171
0.1552,0.1613,0.6443,4.2528,0.2023,0.6291
0.1849,0.0000,0.6572,4.3123,0.3709,0.6867
0.2526,0.0024,0.6816,4.4211,0.4369,0.6983
0.4298,0.1179,0.7460,4.6958,0.5744,0.6899
0.3614,0.1574,0.7206,4.5886,0.3305,0.6436
0.7101,0.9499,0.1509,1.1421,0.2229,0.6603
0.7462,0.9647,0.1381,1.0820,0.1743,0.3236
0.5506,0.8774,0.2091,1.3979,0.0000,0.5567
0.4657,0.8832,0.2406,1.5313,0.3178,0.5549
0.9532,0.9893,0.0665,0.6978,0.4223,0.4385
0.6284,1.0000,0.1813,1.2779,0.0559,0.5324
0.5230,0.9556,0.2196,1.4427,0.3896,0.3897
0.0000,0.7673,0.4150,2.3326,0.3453,0.5950
