Latitude Longitude Rating Price
38.9461941 -119.9634098 3.5 176.56
38.9550405 -119.9451498 3.5 181.25
39.238175 -120.0361639 4.5 310.80
38.9561922 -119.9473786 3.7 492.46
39.2402366 -119.9431558 4.5 708.79
38.946448 -119.961913 3.5 144.56
39.2399635 -120.0477142 4.7 281.04
38.9460412 -119.9641316 3.2 562.88
38.946038 -119.9560935 4.6 820.86
39.2416309 -119.9427632 4.6 807.61
38.9386176 -119.9382502 4.2 122.21
38.9498331 -119.9571228 4.2 222.09
39.1716665 -120.1404397 4.7 253.07
39.2344254 -120.0181738 3.5 133.54
38.9503623 -119.9485904 4.5 245.25
38.9651286 -119.947696 4.7 1262.25
38.9584773 -119.9468571 4.7 263.96
39.0056771 -119.9472566 4.4 352.70
38.9540047 -119.946439 4.0 209.13
38.9570314 -119.9471823 3.9 238.44
39.2399694 -120.0563936 4.1 302.50
38.9609193 -119.9454434 3.2 364.41
38.9629399 -119.9418343 3.7 221.40
38.90821 -120.0010705 3.4 122.92
39.2387736 -120.0372333 4.7 401.46
38.9608297 -119.9492078 4.5 600.81
38.9570931 -119.9453063 4.1 139.00
38.9832281 -119.9445987 4.5 398.50
39.2516204 -119.9315427 4.5 375.94
38.9595009 -119.9413874 4.1 276.83
38.9063663 -119.9997284 4.1 155.50
39.2463675 -119.9419536 3.9 539.79
38.9477088 -119.9644097 4.4 228.38
38.946255 -119.9671431 4.1 330.68
39.1724347 -120.1395916 3.7 167.25
38.961544 -119.939331 3.9 194.94
38.9606097 -119.9449854 3.3 95.00
39.2440437 -119.9367425 4.9 386.95
38.9594219 -119.9445038 3.8 337.66
39.2395282 -120.0492687 4.3 201.00
39.1562348 -120.1542955 4.3 205.89
38.9191935 -120.012225 3.7 161.66
38.9452663 -119.9715789 4.3 201.12
38.9064695 -119.9988338 4.3 238.56
38.9475592 -119.9607312 4.2 324.25
39.239968 -120.052065 4.6 570.07
39.1733304 -120.1378421 4.4 228.31
39.2371214 -120.0280703 4.1 181.49
38.919592 -120.0127389 3.1 211.20
39.2410149 -120.0565917 4.8 211.68
38.9572308 -119.9424508 4.5 341.82
38.9603772 -119.9472008 3.6 190.00
38.9481918 -119.9597261 4.4 200.36
38.967124 -119.9323566 4.4 164.00
39.1846886 -120.1232977 4.7 134.40
38.9604795 -119.9458438 4.5 165.84
39.2533631 -119.9499844 4.3 177.98
38.9409655 -119.9514124 4.4 224.34
